"service","week","month","available_beds","patients_request","patients_admitted","patients_refused","utilisation_rate","refusal_rate","patient_satisfaction","staff_morale","event","total_present_days","num_staff"
"general_medicine","29","8","30","62","30","32","1.0","0.5161290322580645","60","52","none",,
"general_medicine","30","8","38","47","38","9","1.0","0.19148936170212766","77","96","none",,
"general_medicine","31","8","45","60","45","15","1.0","0.25","85","57","none",,
"general_medicine","32","8","34","59","34","25","1.0","0.423728813559322","65","67","none",,
"general_medicine","33","9","51","98","51","47","1.0","0.47959183673469385","86","98","none",,
"general_medicine","34","9","48","56","48","8","1.0","0.14285714285714285","80","63","none",,
"general_medicine","35","9","41","40","40","0","0.975609756097561","0.0","64","79","none",,
"general_medicine","36","9","59","54","54","0","0.9152542372881356","0.0","86","83","none",,
"general_medicine","37","10","58","48","48","0","0.8275862068965517","0.0","93","55","none",,
"general_medicine","38","10","63","78","63","15","1.0","0.19230769230769232","78","70","none",,
"general_medicine","39","10","48","59","48","11","1.0","0.1864406779661017","89","72","strike",,
"general_medicine","40","10","47","107","47","60","1.0","0.5607476635514018","66","52","none",,
"general_medicine","41","11","50","70","50","20","1.0","0.2857142857142857","84","53","none",,
"general_medicine","42","11","67","114","67","47","1.0","0.41228070175438597","65","86","none",,
"general_medicine","43","11","42","49","42","7","1.0","0.14285714285714285","79","77","none",,
"general_medicine","44","11","57","70","57","13","1.0","0.18571428571428572","92","69","none",,
"general_medicine","45","12","40","67","40","27","1.0","0.40298507462686567","99","51","none",,
"general_medicine","46","12","41","29","29","0","0.7073170731707317","0.0","81","58","strike",,
"general_medicine","47","12","55","92","55","37","1.0","0.40217391304347827","97","82","none",,
"general_medicine","48","12","48","105","48","57","1.0","0.5428571428571428","74","96","none",,
"general_medicine","49","12","72","63","63","0","0.875","0.0","92","87","none",,
"general_medicine","50","12","72","57","57","0","0.7916666666666666","0.0","79","60","none",,
"general_medicine","51","12","74","285","74","211","1.0","0.7403508771929824","95","89","flu",,
"general_medicine","52","12","65","225","65","160","1.0","0.7111111111111111","82","40","flu",,
"surgery","1","1","45","130","45","85","1.0","0.6538461538461539","83","78","flu",,
"surgery","2","1","40","26","26","0","0.65","0.0","96","56","none",,
"surgery","3","1","27","66","27","39","1.0","0.5909090909090909","63","72","flu",,
"surgery","4","1","56","57","56","1","1.0","0.017543859649122806","74","94","none",,
"surgery","5","2","26","70","26","44","1.0","0.6285714285714286","81","83","donation",,
"surgery","6","2","27","58","27","31","1.0","0.5344827586206896","96","81","donation",,
"surgery","7","2","37","46","37","9","1.0","0.1956521739130435","89","60","none",,
"surgery","8","2","51","20","20","0","0.39215686274509803","0.0","91","61","strike",,
"surgery","9","3","22","41","22","19","1.0","0.4634146341463415","61","93","none",,
"surgery","10","3","38","57","38","19","1.0","0.3333333333333333","68","55","none",,
"surgery","11","3","48","48","48","0","1.0","0.0","82","80","none",,
"surgery","12","3","38","24","24","0","0.631578947368421","0.0","79","73","none",,
"surgery","13","4","41","54","41","13","1.0","0.24074074074074073","75","90","none",,
"surgery","14","4","33","49","33","16","1.0","0.32653061224489793","97","87","none",,
"surgery","15","4","31","124","31","93","1.0","0.75","65","76","flu",,
"surgery","16","4","37","28","28","0","0.7567567567567568","0.0","82","31","strike",,
"surgery","17","5","40","23","23","0","0.575","0.0","95","94","none",,
"surgery","18","5","43","36","36","0","0.8372093023255814","0.0","81","98","none",,
"surgery","19","5","42","44","42","2","1.0","0.045454545454545456","78","66","none",,
"surgery","20","5","31","39","31","8","1.0","0.20512820512820512","99","94","none",,
"surgery","21","6","30","44","30","14","1.0","0.3181818181818182","64","67","donation",,
"surgery","22","6","18","21","18","3","1.0","0.14285714285714285","63","65","none",,
"surgery","23","6","26","43","26","17","1.0","0.3953488372093023","72","61","none",,
"surgery","24","6","39","21","21","0","0.5384615384615384","0.0","95","39","strike",,
"surgery","25","7","22","39","22","17","1.0","0.4358974358974359","76","98","none",,
"surgery","26","7","31","30","30","0","0.967741935483871","0.0","75","54","none",,
"surgery","27","7","29","24","24","0","0.8275862068965517","0.0","68","59","none",,
"surgery","28","7","31","28","28","0","0.9032258064516129","0.0","66","74","none",,
"surgery","29","8","36","31","31","0","0.8611111111111112","0.0","87","57","none",,
"surgery","30","8","32","15","15","0","0.46875","0.0","70","66","strike",,
"surgery","31","8","20","24","20","4","1.0","0.16666666666666666","83","86","donation",,
"surgery","32","8","31","25","25","0","0.8064516129032258","0.0","87","97","none",,
"surgery","33","9","36","30","30","0","0.8333333333333334","0.0","80","75","none",,
"surgery","34","9","22","42","22","20","1.0","0.47619047619047616","96","86","none",,
"surgery","35","9","26","45","26","19","1.0","0.4222222222222222","93","52","none",,
"surgery","36","9","47","53","47","6","1.0","0.11320754716981132","97","99","none",,
"surgery","37","10","31","39","31","8","1.0","0.20512820512820512","69","66","none",,
"surgery","38","10","47","48","47","1","1.0","0.020833333333333332","62","81","none",,
"surgery","39","10","36","49","36","13","1.0","0.2653061224489796","86","58","none",,
"surgery","40","10","46","36","36","0","0.782608695652174","0.0","83","51","none",,
"surgery","41","11","31","49","31","18","1.0","0.3673469387755102","85","93","none",,
"surgery","42","11","45","67","45","22","1.0","0.3283582089552239","65","75","none",,
"surgery","43","11","50","33","33","0","0.66","0.0","62","89","donation",,
"surgery","44","11","45","28","28","0","0.6222222222222222","0.0","65","75","none",,
"surgery","45","12","32","37","32","5","1.0","0.13513513513513514","64","72","none",,
"surgery","46","12","52","39","39","0","0.75","0.0","68","83","none",,
"surgery","47","12","57","48","48","0","0.8421052631578947","0.0","99","57","none",,
"surgery","48","12","49","32","32","0","0.6530612244897959","0.0","65","52","none",,
"surgery","49","12","26","29","26","3","1.0","0.10344827586206896","81","51","none",,
"surgery","50","12","59","65","59","6","1.0","0.09230769230769231","95","85","none",,
"surgery","51","12","63","48","48","0","0.7619047619047619","0.0","84","82","none",,
"surgery","52","12","53","39","39","0","0.7358490566037735","0.0","82","50","none",,
